,device,date,hive temp,hive humidity,hive pressure,weather temp,weather humidity,weather pressure,wind speed,gust speed,weatherID,cloud coverage,rain,lat,long,file name,queen presence,queen acceptance,frames
0,2,2022-06-12 09:31:04,39.37,28.99,1005.51,22.56,70,1011,2.06,,803,75,0,37.29,-121.95,2022-06-12--09-31-04_2__segment5.wav,1,1,10
1,2,2022-06-08 01:55:59,19.07,36.97,1008.67,13.74,59,1015,0.89,1.79,800,0,0,37.29,-121.95,2022-06-08--01-55-59_2__segment5.wav,1,2,10
2,2,2022-06-09 00:15:57,18.52,47.68,1007.37,14.58,82,1013,5.14,,801,20,0,37.29,-121.95,2022-06-09--00-15-57_2__segment1.wav,0,0,10
3,1,2022-06-10 03:41:45,21.53,51.6,1006.44,16.5,73,1012,0.0,,800,0,0,37.29,-121.95,2022-06-10--03-41-45_1__segment3.wav,1,1,8
4,2,2022-06-11 07:34:47,26.9,48.8,1009.13,20.29,68,1015,0.45,0.45,802,40,0,37.29,-121.95,2022-06-11--07-34-47_2__segment4.wav,1,1,10
5,1,2022-06-10 05:40:10,21.29,51.23,1007.11,15.9,75,1013,0.0,,800,0,0,37.29,-121.95,2022-06-10--05-40-10_1__segment0.wav,1,1,8
6,2,2022-06-10 02:42:41,20.16,48.19,1006.51,16.96,72,1012,0.45,1.34,800,0,0,37.29,-121.95,2022-06-10--02-42-41_2__segment2.wav,1,1,10
7,1,2022-06-14 08:56:49,30.05,37.19,1010.12,20.02,52,1015,2.57,,800,0,0,37.29,-121.95,2022-06-14--08-56-49_1__segment2.wav,1,2,8
8,2,2022-06-07 06:11:25,18.65,46.35,1007.54,10.75,82,1013,0.89,1.34,800,0,0,37.29,-121.95,2022-06-07--06-11-25_2__segment4.wav,1,2,10
9,1,2022-06-10 23:40:10,24.41,53.4,1009.65,20.85,66,1016,3.09,6.69,800,0,0,37.29,-121.95,2022-06-10--23-40-10_1__segment5.wav,1,1,8
10,2,2022-06-10 16:32:41,36.18,24.95,1006.1,34.23,31,1012,7.72,,802,40,0,37.29,-121.95,2022-06-10--16-32-41_2__segment0.wav,1,1,10
11,2,2022-06-11 00:39:26,21.73,54.6,1009.34,19.87,68,1015,2.57,,800,0,0,37.29,-121.95,2022-06-11--00-39-26_2__segment3.wav,1,1,10
12,2,2022-06-09 05:11:59,15.84,55.31,1007.14,12.11,88,1013,2.06,,800,0,0,37.29,-121.95,2022-06-09--05-11-59_2__segment3.wav,0,0,10
13,1,2022-06-11 02:37:38,21.45,61.18,1008.07,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,2022-06-11--02-37-38_1__segment0.wav,1,1,8
14,2,2022-06-08 09:50:41,29.78,38.38,1008.71,21.65,43,1015,4.12,,803,75,0,37.29,-121.95,2022-06-08--09-50-41_2__segment0.wav,1,2,10
